"emp_no","last_name","first_name","sex","salary"
213813,"Matzat","Tsuneo","M",51196
28823,"Skafidas","Tonny","M",62549
284330,"Pehl","Bangqing","F",43654
107258,"Zaumen","Parviz","F",87036
209527,"Danlos","Sashi","M",40000
207774,"Trachtenberg","KayLiang","M",53722
11980,"Pews","Yechezkel","M",58241
270258,"Hasenauer","Feipei","M",40000
492191,"Vakili","Remco","F",49502
457800,"Domenig","Stabislas","M",64014
446142,"Zedlitz","Gregory","F",40000
201769,"Merel","Jayesh","M",48427
56049,"Waymire","Felicidad","F",76782
414537,"Businaro","Chikara","M",78474
414885,"Vecchi","Candido","M",81272
474291,"Jumpertz","Juichirou","M",40000
250218,"Zongker","Uriel","M",41127
451340,"Zyda","Satosi","M",40000
413842,"Bahr","Christoph","F",40000
464798,"Merey","Gen","M",46791
37176,"Daescu","Panayotis","M",45396
109820,"Ghelli","Juichirou","F",40000
246896,"Baik","Francoise","F",60075
474804,"Merlo","Ziva","M",85737
217945,"Georg","Shmuel","M",88260
109600,"Chvatal","Xuejun","M",78057
230858,"Dayana","Conal","F",57381
279661,"Bach","Xiadong","M",58554
287414,"Kamble","Arie","M",51536
210499,"Peron","Pintsang","M",71701
268566,"Parveen","Panayotis","M",73481
53312,"Lagarias","Quingbo","M",70268
214747,"Grospietsch","Rutger","F",40000
231751,"Lunn","Van","F",40000
201452,"Alpin","Karsten","M",58639
435436,"Ozeki","Tiina","F",55903
98882,"Vanwelkenhuysen","Yishay","F",40000
42924,"Felcyn","Mads","F",40000
78316,"Rahimi","Roselyn","M",40000
430484,"Soicher","Hairong","F",40000
401368,"Azumi","Vidar","M",40000
211383,"Candan","Uli","M",54215
452859,"Poupard","Gudjon","M",57777
11842,"Piazza","Moto","M",40000
439095,"Matzat","Changho","M",72075
427027,"Butner","Patricio","M",40000
496429,"Luders","Takanari","M",68886
219797,"Demeyer","Neelam","M",40000
293183,"Butterworth","Guangming","F",56376
439788,"Setia","Irene","F",40000
431759,"Ramsay","Alassane","M",44859
426193,"Rattan","Huiqun","M",75063
416364,"Mateescu","Zissis","M",64980
207791,"Schmittgen","Jahangir","M",43645
277176,"Simmel","Kyoichi","M",57027
22638,"Otillio","Mantis","F",68821
205714,"Ellozy","Anwar","M",51903
218042,"Berstel","Dharmaraja","M",74213
36965,"Munch","Yechiam","M",51883
218058,"Szemeredi","Aiman","M",67484
10966,"Pardalos","Danel","M",70464
423740,"Bardell","Jaroslava","F",46599
468180,"Swen","Mads","M",59348
207996,"Milicic","Tianruo","F",63332
286451,"Swiler","Shuichi","M",40000
30871,"Glowinski","Michaela","M",40000
260621,"Binding","Christophe","M",54758
24103,"Schaft","Martins","M",40000
78524,"Bahk","Zhiwei","F",63123
494351,"Maginnis","Boriana","M",86531
239616,"Benveniste","Chenyi","M",48836
469619,"Bennis","Nakhoon","M",47456
36372,"Conta","Ronghao","F",74338
260402,"Bach","Kwok","M",40000
469215,"Smailagic","Juyoung","F",56042
69005,"Quadeer","Alain","M",40000
279559,"Cronan","Jasminko","F",83729
421244,"Ladret","Ortrun","F",49644
16854,"Lindqvist","Vasilis","F",68896
489740,"Uhrig","Mona","F",47260
470413,"Poehlman","Uzi","M",70750
78630,"Francisci","Perry","M",40000
486205,"Baez","Bodh","F",40875
295979,"Benzaken","Akeno","M",44386
486568,"Pappas","Kiam","M",57499
43646,"Lorcy","Xiaoshan","M",70867
285571,"Rosis","Marke","F",40155
13503,"Milicia","Renee","M",60245
478993,"Buchter","Danny","M",44327
467561,"Schmittgen","Ekawit","M",64641
19442,"Perez","Terresa","F",51952
476968,"Wallrath","Shaleah","M",47937
10202,"Lichtner","Greger","M",47338
462600,"Chvatal","Uriel","F",40000
93898,"Alameldin","Zdislav","F",41273
25597,"Gecsei","Emran","M",51902
496161,"Stille","Tonny","M",84192
272646,"Bahr","Youngkon","M",40000
461800,"Ratnakar","Nadjib","F",59269
452506,"Bahr","Val","F",48359
46470,"Rassart","Adhemar","M",40000
251789,"Servi","Apostol","M",49636
80738,"Rouquie","Udi","M",40000
437837,"Brandsma","Abdulah","M",41789
404252,"Condotta","Ziya","M",40000
493133,"Borovoy","Lidong","M",40000
293313,"Trelles","Dinkar","F",53910
240358,"Masamoto","Fox","F",60863
453362,"Parascandalo","Yucel","M",86947
31634,"Rubsam","Mohua","F",40000
45051,"Billawala","Girolamo","M",75978
468780,"Schnelling","Filipp","M",51564
208208,"Delgrossi","Jianhua","M",53107
11079,"Garigliano","Piyush","M",46239
210347,"Kowalchuk","Junichi","F",43723
418149,"Luiz","Xuejun","M",40000
248886,"Murrill","Geoffrey","M",40000
435490,"Covnot","Zhensheng","M",57242
85550,"Peak","Gro","M",40000
10853,"Kalloufi","Yoshinari","F",53029
213716,"Waleschkowski","Ibibia","M",40000
455423,"Koyama","Aamer","M",40000
484774,"Cherinka","Brigham","M",52782
480539,"Roisin","Boriana","M",61560
282829,"Weisert","Kiyokazu","M",60277
101125,"Eickenmeyer","Teiji","M",43376
52254,"Nations","Yuguang","M",59434
44743,"Sigstam","Augustine","M",64868
57730,"Leijenhorst","Shuichi","M",93308
222732,"Radivojevic","Alassane","M",48474
279067,"Rajaraman","Szabolcs","F",40000
422297,"Flexer","Tsvetan","M",52602
414400,"Dayang","Stella","F",69995
230906,"Marchegay","Qunsheng","M",50033
458896,"Perri","Stabislas","M",53545
293092,"Kroha","Baocai","F",43239
441170,"Munck","Shir","F",60380
496147,"Neiman","Jianwen","F",49993
34573,"Kampfer","Hatsukazu","M",45425
428991,"Baba","Wojceich","M",49512
40602,"Mattern","Make","M",40000
459062,"Delgrange","Suvo","M",57728
253130,"Talmor","Mahmut","F",50223
472397,"Matzel","Danco","M",62949
40014,"Meriste","Maha","M",58163
41622,"Fetvedt","Jouni","F",94694
446342,"Krupka","Mantis","F",40573
494817,"Smeets","Rasiah","M",47847
51016,"Zykh","Vatsa","M",40000
207377,"Feldhoffer","Udaiprakash","F",56008
486617,"Orsini","LiMin","M",57094
283440,"Krichel","Leen","M",69891
96561,"Portugali","Hercules","M",40000
258170,"Sridhar","Morrie","M",40000
204958,"Katzenelson","Morrie","F",52774
442026,"Tischendorf","Mart","M",49683
85808,"Kermarrec","Unal","F",66945
441662,"Chenney","Hongzhu","F",56350
64385,"Poujol","Lokesh","M",46571
405965,"Thisen","Oguz","M",58724
41986,"Wilfing","Conal","F",67430
11012,"Speckmann","Taegyun","F",72092
268613,"Cherinka","Tadahiko","F",53960
82413,"McFarlin","Stabislas","M",40000
67762,"Francisci","Jeanna","F",43430
452220,"Schahn","Ingemar","M",40000
206827,"Selvestrel","Badri","M",60769
298781,"Collavizza","Yagil","F",46731
50928,"Bellone","Ziva","M",40000
85630,"Randt","Gladys","M",71743
446313,"Benzmuller","Howell","M",41757
10571,"Varman","Fun","M",43658
76229,"Trogemann","Shigehiro","M",43848
441330,"Ducloy","Richara","M",54270
446501,"Deville","Rayond","F",63605
484430,"Schach","Roded","M",40000
35711,"Ghelli","Apostol","M",40000
462013,"Bernardeschi","Maik","M",59984
234161,"Backhouse","Elgin","F",50791
93255,"Wegerle","Mihalis","M",55032
210276,"Braunmuhl","Nidapan","F",59644
14193,"Kornyak","Lucien","F",62604
258494,"Asser","Rayond","F",56209
86672,"Anido","JoAnne","F",40000
423290,"Underwood","Geoff","F",41614
25385,"Tsukuda","Joydip","F",40000
244316,"Kuszyk","Khun","M",82344
27995,"Serre","Yunming","M",40000
475572,"Cunliffe","Elvia","M",45086
262519,"Knightly","Jamaludin","M",58980
33808,"Miara","Van","M",41201
70498,"Naumovich","Kien","F",53630
209612,"Schrooten","Honesty","F",40000
488918,"Munos","Tamiya","F",64689
255456,"Tibblin","Aleksandar","F",86526
225156,"Flanders","Conor","M",82527
19621,"Albarhamtoshy","Radhakrishnan","M",40000
451322,"Journel","Gadiel","M",50678
497659,"Isard","Susanna","M",50692
412477,"Janetzko","Xiaobin","M",50796
404690,"Morton","Hidde","M",69162
447021,"Denna","Shigeu","F",40000
292420,"Felder","Uma","M",40000
214723,"Casley","Genki","M",40000
285589,"Frolund","Uta","M",51203
213776,"McAlpine","Hongzhu","M",40000
297557,"Mayerwieser","Elliott","F",40000
201423,"Parveen","Phule","M",53903
459789,"Candan","Paddy","M",59884
438835,"Penz","Constantijn","M",50016
470360,"Hitomi","Shrikanth","F",40000
273830,"Demizu","Chrisa","M",53707
205312,"Matzat","Arco","M",59507
14296,"Rosen","Ronnie","M",43704
293141,"Kaminger","Zhiwei","M",42025
84577,"Garigliano","Satyanarayana","F",40000
495278,"Bisiani","Mayuko","M",55573
405076,"Baby","Marit","M",53131
77286,"Spelt","Mang","M",40000
469432,"Reeker","Arlette","M",49255
230316,"Billingsley","Magdalena","M",49341
208132,"Krider","Sven","F",72281
77078,"Vakili","Yannik","M",47537
272976,"Hiraishi","Augustine","F",50778
268856,"Doering","Kazuhiro","M",40000
440237,"Luit","Chaoyi","M",40000
218310,"Vidya","Mara","M",40000
433062,"Erman","Kiam","M",45760
287553,"Zeilberger","Khatoun","F",40000
290340,"Stille","Morrie","M",40000
418656,"Egerstedt","Aluzio","F",77290
271092,"Hennings","Subbu","M",58271
17373,"Ponthieu","Shugo","M",63286
64364,"Rullman","Masami","M",40000
470712,"Erva","Fox","F",40000
432752,"Birrer","Huai","M",57371
451811,"Rabehasaina","Nalini","F",74381
238234,"Murtha","Bernice","M",83027
78532,"Birrer","Marit","F",40000
264944,"Chimia","Ugo","M",40000
19712,"Litzler","Kristine","M",40000
482398,"DuBourdieux","Lillian","F",65658
451314,"Demizu","Fuqing","M",66188
71064,"Genther","Kokou","F",84332
410614,"Baby","Valter","F",40000
51841,"Honglei","Kristof","M",65185
218907,"Schade","Chikako","F",40000
231612,"Farrel","Eirik","F",53880
450610,"Levergood","Wayne","M",40000
261707,"Gurbaxani","Chenye","F",88512
88922,"Alpay","Niteen","M",52094
283262,"Cullers","Chrisa","M",48173
490354,"Perko","Manton","M",53224
80837,"Tempesti","Nigel","F",90827
473097,"Linnainmaa","Shooichi","M",53510
28718,"Ratzlaff","Etsuo","M",66541
290492,"Cummings","Sorina","F",82078
499788,"Goodrum","Matk","M",40896
11447,"Billawala","Rasiah","M",74396
288054,"Erie","Odysseas","M",52812
238612,"Montemayor","Toshimitsu","M",40000
17422,"Lemarechal","Adil","F",40000
405029,"Karlin","Stevo","M",56682
407766,"Schmittgen","Yoshinari","F",67315
424666,"Lambe","Ingmar","M",70852
476669,"Piancastelli","Persi","F",55608
30512,"Bellmore","Danel","F",53916
253805,"Fargier","Malu","F",57569
15143,"Krupka","Chiradeep","M",74525
86440,"Nitsche","Jamaludin","F",66970
245089,"Melski","Peer","M",41921
480134,"Basart","Magdalena","M",40000
75099,"Vandervoorde","Arunas","M",40000
72141,"Qiwen","Gilbert","F",53660
261049,"Cooman","Naraig","M",51782
441769,"Sundgren","Irena","M",93625
419093,"Emden","Khosrow","M",40000
430062,"Budinsky","Ult","M",40000
200022,"Menhardt","Ortrud","M",55718
246948,"Przulj","Leaf","M",84099
277082,"Belinskaya","Phule","M",40000
33014,"Furedi","Dante","M",40000
29239,"Rosca","Nagui","M",62649
86833,"Cardazo","Genta","M",57580
454407,"Molberg","Wayne","F",40000
277149,"Spinelli","Kellie","F",40000
218904,"Nastansky","Nakhoon","M",58815
251732,"Fortenbacher","Junsik","M",49425
202995,"Strandh","Margareta","F",71247
421718,"Shumilov","Mantis","M",82256
66094,"Trogemann","Masali","F",63459
422949,"Stentiford","Vishv","M",40000
491322,"Validov","Guther","M",48273
499197,"Rajaraman","Akemi","M",75128
66872,"Itschner","Herbert","M",70549
444887,"Ginesta","Jiakeng","F",40000
262594,"Boudaillier","Owen","F",46529
32627,"Merkl","Khalid","F",56850
280330,"Gladwell","Saniya","F",49123
491499,"Perz","Heather","F",57319
295069,"Pouyioutas","Roddy","M",45882
281244,"Vural","Marke","F",40000
75219,"Fritzsche","Reinhold","M",40000
411700,"Yoshimura","Otmar","M",69920
90738,"Christianini","Pranav","M",40000
45381,"McFarlan","Masaki","F",49709
13819,"Percebois","Honglan","M",40000
415948,"Ashish","Marin","M",40000
429536,"Sambasivam","Toney","M",56520
241350,"Leslie","Gretta","M",45232
231552,"Munke","Bernt","F",40000
430657,"Kroha","Guadalupe","F",85423
65328,"Erde","Muneo","F",40000
461247,"Coorg","Aimee","F",41753
494822,"Luga","Naftaly","M",77435
279041,"Delaune","JiYoung","M",40000
402841,"Barinka","Dayanand","M",43370
439346,"Takanami","Kellyn","M",67780
82521,"Porenta","Lubomir","M",53064
105131,"Sidou","Sandeepan","M",83618
39966,"Beidas","Utpal","F",46206
297441,"Fujisawa","Baocai","F",59531
49123,"Stroustrup","Nikolaos","M",54450
40518,"Luiz","Youngkon","M",40000
466414,"Wroclawski","Jordanka","M",40000
461748,"Wallrath","Shim","M",78452
220038,"Iisaka","Conor","M",40000
459196,"Leivant","Neven","M",93937
262129,"Schnabel","Moon","F",41299
81113,"Hofting","Sarita","M",40000
442633,"Cangellaris","Jackson","F",51893
204079,"Stentiford","Shigenori","M",67472
481729,"Setlzner","Doowon","M",75615
479077,"Kusalik","Premsyl","M",40000
418592,"Fortenbacher","Akhilish","F",43764
61928,"Dichev","Gaetan","F",51648
70241,"Garigliano","Arumugam","F",68202
34181,"Setiz","Mads","M",40000
469731,"Bierman","Ramya","M",40000
214156,"Rijckaert","Giap","M",62505
81567,"Nilsson","Doohun","M",40000
245896,"Skrikant","Denny","M",75334
36917,"Karunanithi","Kolar","F",48748
445621,"Impagliazzo","Shmuel","M",78328
61030,"Seiwald","Thodoros","F",54718
270704,"Leivant","Rosella","M",49173
223242,"Pell","Leszek","M",63339
441893,"Edelhoff","Ziyad","M",55780
62695,"Jenevein","Guangming","F",96321
74502,"Delaune","Bedrich","F",40000
407081,"Swift","Heeju","F",47578
439171,"Crooks","JiYoung","F",53778
221980,"Eugenio","Yoshinari","M",78185
48349,"Bultermann","Toong","F",74499
405704,"Broomell","Kersti","M",43922
413161,"Comte","Tomofumi","F",88624
443135,"Ghemri","Gudjon","F",40000
448916,"Swen","Bojan","M",40000
202280,"Deyuan","Feiyu","F",41291
31476,"Asser","Susanne","F",51226
69969,"Mellouli","Ekawit","M",98996
207413,"Sommen","Syozo","M",40000
224271,"Salverda","Hideo","M",53708
18680,"Oaver","Siddarth","M",57952
277947,"Rouquie","Gaurav","M",40000
94829,"Daescu","Uno","M",54262
202330,"Suri","Tadanori","F",52364
431693,"Billingsley","Shaunak","M",73237
19818,"Ventosa","Ashish","M",40000
93207,"Pearson","Sashi","F",53896
212234,"Coombs","Ramalingam","F",54660
285782,"Bultermann","Jaideep","F",40000
262376,"Valiente","Yurij","F",62325
437528,"Luff","Pranay","M",40000
261191,"Geffroy","Zissis","M",40000
219181,"Hertweck","Udo","F",46889
48485,"Birnbaum","Geoff","M",46426
212424,"Pollacia","Ingmar","M",40000
261066,"Hashii","Sugwoo","F",45101
414931,"Pintelas","Patricio","M",51944
452156,"Olano","Miomir","M",65852
408552,"Trumbly","Holgard","M",40000
258454,"Parascandalo","Bezalel","F",49400
30721,"Kulisch","Dzung","F",40000
280762,"Hinsberger","Changho","F",74845
203269,"Velardi","Isaac","M",53754
470173,"Kulisch","Denny","M",40000
461084,"McDermid","Ashish","M",55840
48493,"Molenaar","Toshimi","F",85496
38199,"Shimshoni","Jacopo","M",67591
221008,"Ramalingam","Shrikanth","F",47121
464171,"Kossowski","Ravishankar","M",40000
50322,"Larfeldt","Perla","M",40000
422721,"Irland","Kannan","F",48546
65532,"Miara","Joydip","F",45800
466678,"Mahnke","Rimli","F",53057
430546,"Matheson","Valdiodio","M",41819
203574,"Biron","Aleksander","F",40000
433368,"Lakshmanan","Fatemeh","F",49182
63638,"Chepyzhov","Adib","F",40000
450845,"Kavvadias","Florina","F",40000
21904,"Usery","Alenka","F",40000
264327,"Speer","Kristen","F",56049
470601,"Bahk","Abdelghani","M",50503
462007,"Smeets","Rasiah","M",40000
222376,"Pettey","Yagil","F",40732
420478,"Kranzdorf","Jaihie","M",42453
30475,"Orlowski","Weicheng","F",46081
20346,"Antonakopoulos","Jeong","M",40000
450325,"Bottner","Kiyomitsu","M",70858
482188,"Panwar","Akemi","M",56760
93049,"Ananiadou","Christoper","F",45717
474246,"Jonsson","Phillip","M",50822
267004,"Ghalwash","Teunis","M",42089
213241,"Thorelli","Berni","M",82008
109457,"Rosiles","Stevo","M",82632
24584,"Nitta","Salvador","M",48248
492691,"Baak","Sreekrishna","F",61461
245630,"Vilarrasa","Fumiya","M",51924
54684,"Kawashimo","Arto","F",80404
207129,"Goldhammer","Percy","M",57125
99366,"Speckmann","Remzi","M",44778
201752,"Cooke","Rance","F",53616
408408,"Jiafu","Ramzi","M",42802
22102,"Puppo","Yaghout","F",51629
222920,"Docker","Gal","F",40000
99806,"Cannard","Zhiwei","F",41577
468996,"Stafford","Chenye","M",71341
266323,"Heijenga","Tomofumi","M",99025
243011,"Rusmann","Genevieve","M",75362
266416,"Seghrouchni","Syozo","F",40000
468684,"Middleton","Georgi","M",64280
445676,"Imataki","Morrie","M",68230
459802,"Rosay","Martial","M",49161
415158,"Luck","Shahaf","F",40000
105757,"Ulupinar","Mary","M",40000
210180,"Vural","Jianhua","M",44234
227022,"Zlotek","Sachin","F",51880
488141,"Hambrick","Kristen","M",69816
241516,"Usdin","Sumant","M",40263
96188,"Mitsuhashi","Adib","F",53592
95239,"Stifter","Jongsuk","M",40000
238397,"Jiafu","Niclas","F",53397
249120,"Streng","Achilleas","F",57484
444454,"Poupard","Adel","M",44600
44829,"Biros","IEEE","M",45760
476667,"Braunmuhl","Ravishankar","M",47731
274870,"Streit","Sudharsan","F",43794
268741,"Belinskaya","Venkatesan","M",73321
43541,"Anandan","Zejun","F",40000
298620,"Lipner","Kamakshi","M",40000
267685,"Kusalik","Niranjan","F",57568
451999,"Worfolk","Tadahiko","F",53223
44282,"Crabtree","Rajmohan","M",63790
233133,"Chenney","Menkae","F",65015
291369,"Lores","Marie","F",42587
477239,"Cronan","Takahira","F",58110
403428,"Lund","Licheng","M",40000
39795,"Bennis","Toong","M",60836
241222,"Bahr","Zhongwei","M",100265
241860,"Christianini","Torsten","M",40000
292417,"Erez","Remko","M",46802
203212,"Ulupinar","Arumugam","M",40000
433289,"Khamsi","Selwyn","M",57060
424683,"Dehkordi","Shuky","F",43742
44746,"Emden","Domenick","F",40000
79473,"Ellozy","Denny","M",51708
452075,"Wallrath","Phuoc","M",50929
452915,"Kowalchuk","Goa","F",55703
403370,"Erdmenger","Phillip","M",40188
208110,"Hashii","Abdulla","F",63659
42948,"Bellone","Youngkon","F",40000
249648,"Staelin","Sreekrishna","M",48847
87749,"Penz","Susumu","M",76362
217003,"Busillo","Fumiya","M",51570
478421,"Monkewich","Tiina","F",92359
277065,"Garnier","Izaskun","F",65425
411456,"Crabtree","Pradeep","F",48088
485710,"Horswill","Shuzo","M",53950
62594,"Shumilov","Pintsang","M",55458
209386,"Zucker","Bartek","F",40000
221838,"Asrin","Masami","M",81773
495111,"Stavenow","Yannik","M",45764
425850,"Denti","Phule","M",45484
92839,"Weisert","Tran","M",43679
410482,"Peron","Aleksander","M",59050
200410,"Chaudhuri","Hyuncheol","M",40000
452448,"Kaiser","Chandrasekaran","M",66315
276185,"Chaudhuri","Taiji","M",56565
456497,"Chiodo","Ymte","F",47174
412999,"Stasinski","Xiong","M",69275
55486,"Bashian","Bedir","F",79836
425615,"Yoshimura","Leah","M",47532
471661,"Picaronny","Saeed","M",42126
291144,"Hutter","Boriana","M",64355
467756,"Portugali","Arco","F",40000
291792,"Spieker","Takahira","M",65000
466822,"Olano","Arve","M",40000
63175,"Maksimenko","Reuven","F",40000
298466,"Breugel","Premal","F",87732
447434,"Selvestrel","Haldon","M",40796
22463,"Felder","Bouchung","M",65491
492020,"Landherr","Vojin","F",58026
453613,"Luit","Yagil","M",40000
413788,"Jumpertz","Herbert","M",65021
417141,"Belinskaya","Mandell","M",83761
241861,"Heydon","Moto","M",50415
71266,"Sgarro","Krassimir","F",51474
273206,"Biron","Gennadi","M",40000
211689,"Karner","Uli","F",40000
79988,"Beeson","Tsutomu","M",56886
233635,"Picel","Radhia","F",40000
38211,"Colorni","Franziska","M",40000
74932,"Borovoy","Kish","M",46119
438086,"Ramsak","Maja","F",58029
241260,"Heinisuo","Kellie","F",40000
233753,"Flexer","Wayne","M",53021
268290,"Range","Rosine","M",40000
205704,"Potthoff","Chanjung","M",40000
204199,"Prampolini","Toney","M",40000
88920,"Shackell","Hidde","M",47612
239401,"Denny","Bernardo","F",40000
228319,"Quittner","Tremaine","F",40000
282401,"Ghemri","Maya","M",40000
260075,"Choobineh","Herb","M",40000
109342,"Zizka","Huican","M",40000
429874,"Pezzoli","Aron","F",52517
83266,"Brattka","Luigi","M",40000
441813,"Basagni","Nectarios","F",72859
434080,"Pettis","Tru","F",45095
446241,"Schrooten","Oscar","M",40000
448744,"Dichev","Eishiro","F",40000
412003,"Kambil","Hausi","M",45107
228013,"Armand","Dipankar","M",60639
494505,"Xiaoshan","Valter","M",58337
253156,"Peng","Uinam","M",40000
241232,"Fadgyas","Weijing","F",86604
470872,"Clouatre","Feipei","M",40000
410290,"Stille","Niteen","M",48526
39799,"Garnham","Sariel","F",40000
67411,"Poehlman","Qunsheng","M",68395
289521,"Sooriamurthi","Miyeon","M",67569
410445,"Menyhert","Ortrud","M",40000
66497,"Valtorta","Pranay","M",40000
287080,"Plotkin","Radhika","M",49984
28611,"Mitchem","Shay","M",41750
33206,"Barreiro","Zhiwei","F",40000
73401,"Zirintsis","Tesuya","M",60981
36193,"Zambonelli","Roselyn","F",40000
217000,"Auyong","Hidekazu","F",58257
477276,"Kuszyk","Susumu","M",40000
449690,"Kohling","Shahid","F",42901
86160,"Milicia","Guther","M",56507
412622,"Wolniewicz","Shigehiro","F",71047
439571,"Bazelow","Munir","M",52539
417160,"Benaini","Chandrasekaran","M",67693
284476,"Nitsch","Hironobu","M",53343
298209,"Cyne","Siamak","M",49001
51350,"Serna","Gil","M",48250
259983,"Biros","Magdalena","M",40000
241795,"Bernardinello","Phillip","M",51789
492062,"Miara","Wayne","F",40000
229944,"Kroft","Zsolt","M",90163
99738,"Sidhu","Aria","M",89465
231885,"Birge","Toshimi","F",80423
94926,"Bresenham","Urs","M",56251
255984,"Kulisch","Stein","M",40000
210425,"Fujisawa","Percy","M",51884
439190,"Georg","Fumino","F",40000
203982,"Covnot","Aimee","M",79373
19967,"Levergood","Mong","M",81102
469182,"Lipner","Rildo","M",41927
205850,"Staudhammer","Hiroyasu","M",71453
273452,"Pargas","Utz","M",40000
207101,"Aloisi","Sreenivas","F",48797
206757,"Zschoche","Mandell","F",49654
200052,"Cincotta","Slavian","F",40000
499215,"Shinomoto","Gen","F",40000
498932,"Denny","Khatoun","F",42875
436920,"Maliniak","Aris","M",40887
260484,"Merli","Vishv","M",40000
90741,"Bharadwaj","Kristinn","F",65022
424392,"Baek","Amabile","F",81056
105209,"Iisaka","Marc","M",55937
267478,"Bottner","Yakkov","M",40000
93828,"Ertl","Maha","M",40000
273024,"Lortz","Spyrose","M",52126
10323,"Hinsberger","Kankanahalli","M",40000
468069,"Gill","Kiyotoshi","M",58864
464594,"Ranst","Almudena","F",53500
211191,"Zaiane","Gilbert","M",40000
420646,"Randt","Vishwani","M",40000
257373,"Hagimont","Munenori","M",75928
471117,"Awdeh","Berto","M",61943
476366,"Kobara","Sigeru","M",89006
285303,"Kroft","Premsyl","M",44093
59237,"Lundstrom","Gen","M",49993
409993,"Lores","Goh","F",44843
296483,"Ohori","Divine","F",48914
17417,"Krohn","Aleksander","F",51097
489271,"Strehl","Maia","F",40000
218099,"Lorcy","Ramachenga","F",40000
230268,"Murtha","Moheb","M",45728
230787,"Nooteboom","Bangqing","M",47208
254914,"Massonet","Nahla","F",43185
232896,"Atrawala","Dzung","M",64080
208615,"Porotnikoff","Dante","M",63885
491291,"Talmor","Takanari","M",70699
16747,"Cyre","Taisook","F",55717
433634,"Masada","Oscar","M",63443
103589,"Fujisaki","Ipke","M",80369
226582,"Serre","Reinhard","M",86736
299441,"Billawala","Qunsheng","F",65394
77615,"Krupka","Jianwen","M",63718
109409,"Coorg","Xumin","M",61414
27679,"Lindqvist","Kerryn","M",40000
